Dataset,Tubeloss,Tubeloss,Tubeloss,Tubeloss,Quantile,Quantile,Quantile,Quantile
name,method_name,PICP,MPIW,q_hat,method_name,PICP,MPIW,q_hat
boston,Tube Loss,0.901,24.609,,Pinball Loss,0.9109,27.1111,
boston,TCQR,0.9109,25.0811,0.236,CQR,0.9109,26.9312,-0.09
boston,TCQR-r,0.9109,25.0787,0.0095,CQR-r,0.9109,26.9423,-0.0031
boston,UATCQR-S,0.9109,26.3768,1.2734,UACQR-S,0.9109,25.7531,-0.6053
boston,UATCQR-P,0.9109,27.9284,36.0,UACQR-P,0.9109,23.5346,8.0
concrete,Tube Loss,0.9029,43.1534,,Pinball Loss,0.9369,62.9662,
concrete,TCQR,0.9078,43.2726,0.0596,CQR,0.9078,60.9617,-1.0022
concrete,TCQR-r,0.9078,43.2637,0.0013,CQR-r,0.9078,61.0434,-0.0153
concrete,UATCQR-S,0.9078,43.2163,0.0104,UACQR-S,0.9078,57.8768,-0.1523
concrete,UATCQR-P,0.9126,51.8876,27.0,UACQR-P,0.9078,57.2683,30.0
energy,Tube Loss,0.9026,25.4863,,Pinball Loss,0.8636,18.0718,
energy,TCQR,0.9091,25.5042,0.0089,CQR,0.9091,18.6393,0.2838
energy,TCQR-r,0.9091,25.504,0.0003,CQR-r,0.9091,18.5526,0.0133
energy,UATCQR-S,0.9091,25.4984,0.0117,UACQR-S,0.9091,19.8191,0.3666
energy,UATCQR-P,0.9091,25.8177,23.0,UACQR-P,0.9091,22.5443,20.0
protein,Tube Loss,0.9026,17.209,,Pinball Loss,0.9028,16.5883,
protein,TCQR,0.9002,17.1838,-0.0126,CQR,0.9002,16.5469,-0.0207
protein,TCQR-r,0.9002,17.1827,-0.0008,CQR-r,0.9002,16.5512,-0.0011
protein,UATCQR-S,0.9002,17.1762,-0.1478,UACQR-S,0.9002,16.5279,-0.0655
protein,UATCQR-P,0.9006,17.3027,15.0,UACQR-P,0.9009,16.681,18.0
wine,Tube Loss,0.9031,2.1215,,Pinball Loss,0.9188,2.4803,
wine,TCQR,0.9031,2.1208,-0.0004,CQR,0.9031,2.2602,-0.11
wine,TCQR-r,0.9031,2.1208,-0.0002,CQR-r,0.9031,2.2529,-0.0458
wine,UATCQR-S,0.9031,2.115,-0.0402,UACQR-S,0.9031,2.2601,-0.4851
wine,UATCQR-P,0.9031,2.3224,21.0,UACQR-P,0.9031,2.3106,26.0
synthetic,Tube Loss,0.9,2.5113,,Pinball Loss,0.902,2.614,
synthetic,TCQR,0.902,2.5461,0.0174,CQR,0.902,2.5913,-0.0113
synthetic,TCQR-r,0.902,2.5462,0.0069,CQR-r,0.902,2.5916,-0.0043
synthetic,UATCQR-S,0.902,2.5329,0.2935,UACQR-S,0.902,2.6064,-0.333
synthetic,UATCQR-P,0.902,2.5299,7.0,UACQR-P,0.902,2.6202,38.0
power,Tube Loss,0.9013,18.0502,,Pinball Loss,0.8887,31.2096,
power,TCQR,0.9007,18.0478,-0.0012,CQR,0.9007,31.824,0.3072
power,TCQR-r,0.9007,18.0482,-0.0001,CQR-r,0.9007,31.9167,0.0113
power,UATCQR-S,0.9007,18.0412,-0.0019,UACQR-S,0.9007,32.6924,0.2299
power,UATCQR-P,0.9018,22.3897,21.0,UACQR-P,0.9013,36.7164,16.0
yacht,Tube Loss,0.9194,50.9236,,Pinball Loss,0.8065,39.5995,
yacht,TCQR,0.9194,50.9144,-0.0046,CQR,0.9194,41.0326,0.7165
yacht,TCQR-r,0.9194,50.9145,-0.0001,CQR-r,0.9194,41.0215,0.018
yacht,UATCQR-S,0.9194,50.9079,-0.0074,UACQR-S,0.9194,43.237,1.0827
yacht,UATCQR-P,0.9194,53.5526,47.0,UACQR-P,1.0,inf,51.0
